INFO:root:Reading from Pet dataset.
INFO:root:0 training and 1 validation examples.
INFO:root:On image 0 of 1
INFO:root:Cattest_1.jpg box size xmin:98, xmax:455, ymin:61, ymax:340
INFO:root:Reading from Pet dataset.
INFO:root:62 training and 27 validation examples.
INFO:root:On image 0 of 62
INFO:root:Abyssinian_70.jpg box size xmin:1, xmax:335, ymin:5, ymax:461
INFO:root:Abyssinian_18.jpg box size xmin:2, xmax:320, ymin:82, ymax:452
INFO:root:Abyssinian_54.jpg box size xmin:176, xmax:409, ymin:2, ymax:372
INFO:root:Abyssinian_10.jpg box size xmin:2, xmax:292, ymin:96, ymax:495
INFO:root:Abyssinian_82.jpg box size xmin:13, xmax:311, ymin:9, ymax:430
INFO:root:Abyssinian_78.jpg box size xmin:48, xmax:244, ymin:69, ymax:443
INFO:root:Abyssinian_22.jpg box size xmin:67, xmax:440, ymin:41, ymax:327
WARNING:root:Invalid example: C:\\Users\\danie\\PycharmProjects\\tensorflow\\pets\\annotations\xmls\Abyssinian_34.xml, ignoring.
INFO:root:Abyssinian_51.jpg box size xmin:127, xmax:523, ymin:1, ymax:597
INFO:root:Abyssinian_44.jpg box size xmin:45, xmax:773, ymin:9, ymax:951
INFO:root:Abyssinian_57.jpg box size xmin:1, xmax:375, ymin:1, ymax:498
INFO:root:Abyssinian_6.jpg box size xmin:1, xmax:411, ymin:18, ymax:499
INFO:root:Abyssinian_79.jpg box size xmin:82, xmax:398, ymin:22, ymax:300
INFO:root:Abyssinian_27.jpg box size xmin:2, xmax:380, ymin:10, ymax:286
INFO:root:Abyssinian_71.jpg box size xmin:189, xmax:810, ymin:73, ymax:472
INFO:root:Abyssinian_68.jpg box size xmin:1, xmax:325, ymin:28, ymax:499
INFO:root:Abyssinian_74.jpg box size xmin:1, xmax:294, ymin:37, ymax:500
INFO:root:Abyssinian_90.jpg box size xmin:1, xmax:394, ymin:36, ymax:500
INFO:root:Abyssinian_63.jpg box size xmin:7, xmax:150, ymin:1, ymax:115
INFO:root:Abyssinian_69.jpg box size xmin:54, xmax:265, ymin:52, ymax:416
INFO:root:Abyssinian_61.jpg box size xmin:343, xmax:1000, ymin:136, ymax:838
INFO:root:Abyssinian_94.jpg box size xmin:181, xmax:374, ymin:108, ymax:498
INFO:root:Abyssinian_85.jpg box size xmin:46, xmax:454, ymin:41, ymax:436
INFO:root:Abyssinian_85.jpg box size xmin:1, xmax:201, ymin:59, ymax:292
INFO:root:Abyssinian_75.jpg box size xmin:58, xmax:225, ymin:106, ymax:380
INFO:root:Abyssinian_45.jpg box size xmin:31, xmax:177, ymin:2, ymax:168
INFO:root:Abyssinian_16.jpg box size xmin:16, xmax:482, ymin:47, ymax:265
INFO:root:Abyssinian_49.jpg box size xmin:39, xmax:335, ymin:40, ymax:500
INFO:root:Abyssinian_81.jpg box size xmin:1, xmax:500, ymin:1, ymax:373
INFO:root:Abyssinian_40.jpg box size xmin:55, xmax:1637, ymin:14, ymax:1278
INFO:root:Abyssinian_55.jpg box size xmin:8, xmax:275, ymin:19, ymax:274
INFO:root:Abyssinian_73.jpg box size xmin:78, xmax:312, ymin:27, ymax:250
INFO:root:Abyssinian_52.jpg box size xmin:90, xmax:500, ymin:1, ymax:297
INFO:root:Abyssinian_50.jpg box size xmin:1, xmax:303, ymin:1, ymax:468
INFO:root:Abyssinian_97.jpg box size xmin:44, xmax:291, ymin:39, ymax:251
INFO:root:Abyssinian_58.jpg box size xmin:1, xmax:269, ymin:63, ymax:499
INFO:root:Abyssinian_87.jpg box size xmin:1, xmax:375, ymin:1, ymax:300
INFO:root:Abyssinian_2.jpg box size xmin:102, xmax:569, ymin:10, ymax:473
INFO:root:Abyssinian_48.jpg box size xmin:8, xmax:294, ymin:9, ymax:448
INFO:root:Abyssinian_31.jpg box size xmin:23, xmax:290, ymin:3, ymax:397
INFO:root:Abyssinian_26.jpg box size xmin:77, xmax:448, ymin:1, ymax:321
INFO:root:Abyssinian_77.jpg box size xmin:101, xmax:418, ymin:47, ymax:375
INFO:root:Abyssinian_8.jpg box size xmin:149, xmax:499, ymin:30, ymax:335
INFO:root:Abyssinian_65.jpg box size xmin:125, xmax:310, ymin:26, ymax:248
INFO:root:Abyssinian_15.jpg box size xmin:4, xmax:438, ymin:7, ymax:421
INFO:root:Abyssinian_46.jpg box size xmin:1, xmax:321, ymin:84, ymax:371
INFO:root:Abyssinian_83.jpg box size xmin:59, xmax:330, ymin:113, ymax:433
INFO:root:Abyssinian_100.jpg box size xmin:24, xmax:347, ymin:68, ymax:488
INFO:root:Abyssinian_24.jpg box size xmin:245, xmax:663, ymin:18, ymax:597
WARNING:root:Invalid example: C:\\Users\\danie\\PycharmProjects\\tensorflow\\pets\\annotations\xmls\Abyssinian_5.xml, ignoring.
INFO:root:Abyssinian_62.jpg box size xmin:3, xmax:324, ymin:3, ymax:308
INFO:root:Abyssinian_30.jpg box size xmin:1, xmax:333, ymin:128, ymax:350
INFO:root:Abyssinian_88.jpg box size xmin:8, xmax:484, ymin:17, ymax:353
INFO:root:Abyssinian_32.jpg box size xmin:364, xmax:1263, ymin:303, ymax:951
INFO:root:Abyssinian_13.jpg box size xmin:1, xmax:222, ymin:24, ymax:270
INFO:root:Abyssinian_14.jpg box size xmin:4, xmax:276, ymin:66, ymax:457
INFO:root:Abyssinian_72.jpg box size xmin:55, xmax:335, ymin:1, ymax:396
INFO:root:Abyssinian_60.jpg box size xmin:117, xmax:388, ymin:2, ymax:323
INFO:root:Abyssinian_98.jpg box size xmin:63, xmax:498, ymin:48, ymax:386
INFO:root:Abyssinian_17.jpg box size xmin:28, xmax:274, ymin:92, ymax:360
INFO:root:Abyssinian_92.jpg box size xmin:66, xmax:384, ymin:43, ymax:500
INFO:root:Abyssinian_3.jpg box size xmin:114, xmax:442, ymin:110, ymax:840
INFO:root:Abyssinian_84.jpg box size xmin:42, xmax:266, ymin:37, ymax:400
INFO:root:On image 0 of 27
INFO:root:Abyssinian_56.jpg box size xmin:74, xmax:206, ymin:5, ymax:188
INFO:root:Abyssinian_29.jpg box size xmin:267, xmax:1118, ymin:166, ymax:1175
INFO:root:Abyssinian_1.jpg box size xmin:98, xmax:455, ymin:61, ymax:340
INFO:root:Abyssinian_95.jpg box size xmin:72, xmax:375, ymin:1, ymax:500
INFO:root:Abyssinian_7.jpg box size xmin:40, xmax:146, ymin:24, ymax:263
INFO:root:Abyssinian_93.jpg box size xmin:1, xmax:480, ymin:1, ymax:373
INFO:root:Abyssinian_66.jpg box size xmin:14, xmax:319, ymin:53, ymax:464
INFO:root:Abyssinian_33.jpg box size xmin:46, xmax:345, ymin:40, ymax:279
